Role	Perspective	Actor Keyword(s)	Target Keyword(s)	Behavior Path	Animation Path(s)
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft	AnimsLaserGripRifle	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle\Injured\Left, Actors\Supermutant\Animations\Machinegun\Injured\Left, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft	AnimsLaserGripRifle	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle\Injured\Left, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredRight	AnimsLaserGripRifle	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle\Injured\Right, Actors\Supermutant\Animations\Machinegun\Injured\Right, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredRight	AnimsLaserGripRifle	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle\Injured\Right, Actors\Supermutant\Animations\Machinegun\Injured\Right, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft	AnimsLaserGripRifle	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight	AnimsLaserGripRifle	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorMobilityInjuredLeft	AnimsUnarmed, WeaponTypeUnarmed	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\Supermutant\Animations\H2H\Injured\Left, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft	AnimsRecieverHandmadePipe	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\PipeRifle, Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight	AnimsRecieverHandmadePipe	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\PipeRifle, Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight	AnimsRecieverHandmadePipe	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\PipeRifle, Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft	AnimsRecieverHandmadePipe	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\PipeRifle, Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle\Injured\Left, Actors\Supermutant\Animations\Machinegun\Injured\Left, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft	AnimsRecieverHandmadePipe	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\PipeRifle, Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle\Injured\Left, Actors\Supermutant\Animations\Machinegun\Injured\Left, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft	AnimsRecieverHandmadePipe	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\PipeRifle, Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle\Injured\Left, Actors\Supermutant\Animations\Machinegun\Injured\Left, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredRight	AnimsRecieverHandmadePipe	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\PipeRifle, Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle\Injured\Right, Actors\Supermutant\Animations\Machinegun\Injured\Right, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredRight	AnimsRecieverHandmadePipe	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\PipeRifle, Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle\Injured\Right, Actors\Supermutant\Animations\Machinegun\Injured\Right, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredRight	AnimsRecieverHandmadePipe	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\PipeRifle, Actors\Supermutant\Animations\LaserRifleGripStraight, Actors\Supermutant\Animations\HuntingRifle\Injured\Right, Actors\Supermutant\Animations\Machinegun\Injured\Right, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsRecieverHandmadePipe	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\PipeRifle\Injured\OnGround, Actors\Supermutant\Animations\LaserRifleGripStraight\Injured\OnGround, Actors\Supermutant\Animations\HuntingRifle\Injured\OnGround, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsRecieverHandmadePipe	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\PipeRifle\Injured\OnGround, Actors\Supermutant\Animations\LaserRifleGripStraight\Injured\OnGround, Actors\Supermutant\Animations\HuntingRifle\Injured\OnGround, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsGripShoulderFired, AnimsMissileLauncher	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\MissileLauncher\Injured\OnGround, Actors\Supermutant\Animations\MissileLauncher, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsUnarmed, WeaponTypeUnarmed	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\Supermutant\Animations\H2H\Injured\OnGround, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft	AnimsUnarmed, WeaponTypeUnarmed	Actors\Character\Behaviors\BothArmInjuredMeleeWrappingBehavior.hkx	Actors\Supermutant\Animations\H2H\Injured\Left, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredRight	AnimsUnarmed, WeaponTypeUnarmed	Actors\Character\Behaviors\BothArmInjuredMeleeWrappingBehavior.hkx	Actors\Supermutant\Animations\H2H\Injured\Right, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft	AnimsGripShoulderFired, AnimsMissileLauncher	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\MissileLauncher, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight	AnimsGripShoulderFired, AnimsMissileLauncher	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\MissileLauncher, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight	AnimsGripShoulderFired, AnimsMissileLauncher	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\MissileLauncher, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredRight	AnimsGripShoulderFired, AnimsMissileLauncher	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\MissileLauncher\Injured\Right, Actors\Supermutant\Animations\MissileLauncher, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsLaserGripRifle	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\LaserRifleGripStraight\Injured\OnGround, Actors\Supermutant\Animations\HuntingRifle\Injured\OnGround, Actors\Supermutant\Animations\HuntingRifle, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredRight	AnimsGripShoulderFired, AnimsMissileLauncher	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\MissileLauncher\Injured\Right, Actors\Supermutant\Animations\MissileLauncher, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorMobilityInjuredLeft	AnimsGripShoulderFired, AnimsMissileLauncher	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\MissileLauncher\Injured\Left, Actors\Supermutant\Animations\MissileLauncher, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft	AnimsGripShoulderFired, AnimsMissileLauncher	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\MissileLauncher\Injured\Left, Actors\Supermutant\Animations\MissileLauncher, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft	AnimsGripShoulderFired, AnimsMissileLauncher	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Supermutant\Animations\MissileLauncher\Injured\Left, Actors\Supermutant\Animations\MissileLauncher, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsGripShoulderFired, AnimsMissileLauncher	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\MissileLauncher\Injured\OnGround, Actors\Supermutant\Animations\MissileLauncher, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsGripShoulderFired, AnimsMissileLauncher	Actors\Character\Behaviors\WeaponBehavior.hkx	Actors\Supermutant\Animations\MissileLauncher\Injured\OnGround, Actors\Supermutant\Animations\MissileLauncher, Actors\Supermutant\Animations\Shared
Weapon	3rd	ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	Anims2hmWideWeapon	Actors\Character\Behaviors\MeleeBehavior.hkx	Actors\Supermutant\Animations\2HM\Injured\OnGround, Actors\Supermutant\Animations\2HM, Actors\Supermutant\Animations\H2H, Actors\Supermutant\Animations\Machinegun, Actors\Supermutant\Animations\Shared
Furniture	3rd		AnimFurnSuperMutantJumpDown	Actors\Character\Behaviors\FurnitureNoMirrorBehavior.hkx	Actors\Supermutant\Animations\Furniture\JumpToLift
Furniture	3rd		AnimFurnWorkbenchChemistryA	Actors\Character\Behaviors\FurnitureBehavior.hkx	Actors\Supermutant\Animations\Furniture\WorkBenchChemistryB
Furniture	3rd		AnimFurnSuperMutantSit	Actors\Character\Behaviors\FurnitureNoMirrorBehavior.hkx	Actors\Supermutant\Animations\Furniture\Chair
Furniture	3rd		AnimFurnVirgilTalkingCave	Actors\Character\Behaviors\FurnitureNoMirrorBehavior.hkx	Actors\Supermutant\Animations\Furniture\VirgilTalkingCave
Furniture	3rd	p-AttachSlot1	isVertibird	Actors\Character\Behaviors\FurnitureBehavior.hkx	Actors\Supermutant\Animations\Furniture\Vertibird
Furniture	3rd		AnimFurnVirgilPushingCar	Actors\Character\Behaviors\SingleAnimFurniture.hkx	Actors\Supermutant\Animations\Furniture\VirgilPushingCar
Furniture	3rd		AnimFurnWoodCookingFire	Actors\Character\Behaviors\FurnitureBehavior.hkx	Actors\Supermutant\Animations\Furniture\CookingWoodFirePot
Furniture	3rd		AnimFurnCookingCauldron	Actors\Character\Behaviors\FurnitureBehavior.hkx	Actors\Supermutant\Animations\Furniture\CookingCauldron
Furniture	3rd		AnimFurnDeskTerminalNoChair	Actors\Character\Behaviors\FurnitureNoMirrorBehavior.hkx	Actors\Supermutant\Animations\Furniture\Terminal
Furniture	3rd	p-AttachSlot2	isVertibird	Actors\Character\Behaviors\FurnitureBehavior.hkx	Actors\Supermutant\Animations\Furniture\Vertibird\Slot2
Idle	3rd		AnimsAmbushBehaviorLinking	Actors\Shared\Behaviors\AmbushBehavior.hkx	Actors\Supermutant\Animations
